,Relationship,full_community_id_source,name_source,Ar_target,AtomicNumber_target,Density_target,MeltingPoint_target,Symbol_target,full_community_id_target,name_target
135,IS_COMPOSED_OF,723,C83800,419.5,328,30,419.5,65.38,ZINC,Zn
136,IS_COMPOSED_OF,723,C83800,327.5,329,82,327.5,207.2,LEAD,Pb
137,IS_COMPOSED_OF,723,C83800,1085,319,29,1085,63.546,COPPER,Cu
138,IS_COMPOSED_OF,723,C83800,231.9,326,50,231.9,118.71,TIN,Sn
139,IS_COMPOSED_OF,723,C83800,419.5,328,30,419.5,65.38,ZINC,Zn
140,IS_COMPOSED_OF,723,C83800,1538,321,26,1538,55.845,IRON,Fe
141,IS_COMPOSED_OF,723,C83800,112.8,943,16,112.8,32.605,SULFUR ,S
142,IS_COMPOSED_OF,723,C83800,44.1,942,15,44.1,30.973762,PHOSPHORUS ,P
143,IS_COMPOSED_OF,723,C83800,660.3,322,13,660.3,26.981539,ALUMINUM,Al
144,IS_COMPOSED_OF,723,C83800,1414,333,14,1414,28.0855,SILICON,Si
145,IS_COMPOSED_OF,723,C83800,1455,327,28,1455,58.6934,NICKEL,Ni
146,IS_COMPOSED_OF,723,C83800,327.5,329,82,327.5,207.2,LEAD,Pb
147,IS_COMPOSED_OF,723,C83800,630.5,331,51,630.5,121.76,ANTIMONY,Sb
148,IS_COMPOSED_OF,724,C83810,231.9,326,50,231.9,118.71,TIN,Sn
149,IS_COMPOSED_OF,724,C83810,419.5,328,30,419.5,65.38,ZINC,Zn
150,IS_COMPOSED_OF,724,C83810,327.5,329,82,327.5,207.2,LEAD,Pb
151,IS_COMPOSED_OF,724,C83810,660.3,322,13,660.3,26.981539,ALUMINUM,Al
152,IS_COMPOSED_OF,724,C83810,1085,319,29,1085,63.546,COPPER,Cu
153,IS_COMPOSED_OF,724,C83810,231.9,326,50,231.9,118.71,TIN,Sn
154,IS_COMPOSED_OF,724,C83810,327.5,329,82,327.5,207.2,LEAD,Pb
155,IS_COMPOSED_OF,724,C83810,1414,333,14,1414,28.0855,SILICON,Si
156,IS_COMPOSED_OF,724,C83810,419.5,328,30,419.5,65.38,ZINC,Zn
157,IS_COMPOSED_OF,724,C83810,1455,327,28,1455,58.6934,NICKEL,Ni
158,IS_COMPOSED_OF,724,C83810,1538,321,26,1538,55.845,IRON,Fe
159,IS_COMPOSED_OF,725,C84000,1455,327,28,1455,58.6934,NICKEL,Ni
160,IS_COMPOSED_OF,725,C84000,1085,319,29,1085,63.546,COPPER,Cu
161,IS_COMPOSED_OF,725,C84000,231.9,326,50,231.9,118.71,TIN,Sn
162,IS_COMPOSED_OF,725,C84000,419.5,328,30,419.5,65.38,ZINC,Zn
163,IS_COMPOSED_OF,725,C84000,1855,436,40,1855,91.224,ZIRCONIUM ,Zr
164,IS_COMPOSED_OF,725,C84000,630.5,331,51,630.5,121.76,ANTIMONY,Sb
165,IS_COMPOSED_OF,725,C84000,1414,333,14,1414,28.0855,SILICON,Si
166,IS_COMPOSED_OF,725,C84000,112.8,943,16,112.8,32.605,SULFUR ,S
167,IS_COMPOSED_OF,725,C84000,660.3,322,13,660.3,26.981539,ALUMINUM,Al
168,IS_COMPOSED_OF,725,C84000,1538,321,26,1538,55.845,IRON,Fe
169,IS_COMPOSED_OF,725,C84000,1455,327,28,1455,58.6934,NICKEL,Ni
170,IS_COMPOSED_OF,725,C84000,231.9,326,50,231.9,118.71,TIN,Sn
171,IS_COMPOSED_OF,725,C84000,1246,330,25,1246,54.938044,MANGANESE,Mn
172,IS_COMPOSED_OF,725,C84000,44.1,942,15,44.1,30.973762,PHOSPHORUS ,P
173,IS_COMPOSED_OF,725,C84000,419.5,328,30,419.5,65.38,ZINC,Zn
174,IS_COMPOSED_OF,725,C84000,1085,319,29,1085,63.546,COPPER,Cu
175,IS_COMPOSED_OF,725,C84000,2076,946,5,2076,10.811,BORON,B
176,IS_COMPOSED_OF,725,C84000,327.5,329,82,327.5,207.2,LEAD,Pb
177,IS_COMPOSED_OF,726,C84010,1246,330,25,1246,54.938044,MANGANESE,Mn
178,IS_COMPOSED_OF,726,C84010,419.5,328,30,419.5,65.38,ZINC,Zn
179,IS_COMPOSED_OF,726,C84010,1455,327,28,1455,58.6934,NICKEL,Ni
180,IS_COMPOSED_OF,726,C84010,1085,319,29,1085,63.546,COPPER,Cu
181,IS_COMPOSED_OF,726,C84010,231.9,326,50,231.9,118.71,TIN,Sn
182,IS_COMPOSED_OF,726,C84010,419.5,328,30,419.5,65.38,ZINC,Zn
183,IS_COMPOSED_OF,726,C84010,1414,333,14,1414,28.0855,SILICON,Si
184,IS_COMPOSED_OF,726,C84010,327.5,329,82,327.5,207.2,LEAD,Pb
185,IS_COMPOSED_OF,726,C84010,231.9,326,50,231.9,118.71,TIN,Sn
186,IS_COMPOSED_OF,726,C84010,660.3,322,13,660.3,26.981539,ALUMINUM,Al
187,IS_COMPOSED_OF,726,C84010,1455,327,28,1455,58.6934,NICKEL,Ni
188,IS_COMPOSED_OF,726,C84010,2076,946,5,2076,10.811,BORON,B
189,IS_COMPOSED_OF,726,C84010,630.5,331,51,630.5,121.76,ANTIMONY,Sb
190,IS_COMPOSED_OF,726,C84010,1538,321,26,1538,55.845,IRON,Fe
191,IS_COMPOSED_OF,726,C84010,44.1,942,15,44.1,30.973762,PHOSPHORUS ,P
192,IS_COMPOSED_OF,726,C84010,1855,436,40,1855,91.224,ZIRCONIUM ,Zr
193,IS_COMPOSED_OF,726,C84010,1085,319,29,1085,63.546,COPPER,Cu
194,IS_COMPOSED_OF,726,C84010,1246,330,25,1246,54.938044,MANGANESE,Mn
195,IS_COMPOSED_OF,726,C84010,112.8,943,16,112.8,32.605,SULFUR ,S
196,IS_COMPOSED_OF,727,C84020,1455,327,28,1455,58.6934,NICKEL,Ni
197,IS_COMPOSED_OF,727,C84020,419.5,328,30,419.5,65.38,ZINC,Zn
198,IS_COMPOSED_OF,727,C84020,231.9,326,50,231.9,118.71,TIN,Sn
199,IS_COMPOSED_OF,727,C84020,1085,319,29,1085,63.546,COPPER,Cu
200,IS_COMPOSED_OF,727,C84020,419.5,328,30,419.5,65.38,ZINC,Zn
201,IS_COMPOSED_OF,727,C84020,630.5,331,51,630.5,121.76,ANTIMONY,Sb
202,IS_COMPOSED_OF,727,C84020,1455,327,28,1455,58.6934,NICKEL,Ni
203,IS_COMPOSED_OF,727,C84020,231.9,326,50,231.9,118.71,TIN,Sn
204,IS_COMPOSED_OF,727,C84020,3550,947,6,3550,12.0107,CARBON ,C
205,IS_COMPOSED_OF,727,C84020,1538,321,26,1538,55.845,IRON,Fe
206,IS_COMPOSED_OF,727,C84020,327.5,329,82,327.5,207.2,LEAD,Pb
207,IS_COMPOSED_OF,727,C84020,1246,330,25,1246,54.938044,MANGANESE,Mn
208,IS_COMPOSED_OF,727,C84020,1855,436,40,1855,91.224,ZIRCONIUM ,Zr
209,IS_COMPOSED_OF,727,C84020,112.8,943,16,112.8,32.605,SULFUR ,S
210,IS_COMPOSED_OF,727,C84020,44.1,942,15,44.1,30.973762,PHOSPHORUS ,P
211,IS_COMPOSED_OF,727,C84020,2076,946,5,2076,10.811,BORON,B
212,IS_COMPOSED_OF,727,C84020,1085,319,29,1085,63.546,COPPER,Cu
213,IS_COMPOSED_OF,727,C84020,1668,320,22,1668,47.867,TITANIUM,Ti
214,IS_COMPOSED_OF,728,C84030,419.5,328,30,419.5,65.38,ZINC,Zn
215,IS_COMPOSED_OF,728,C84030,1085,319,29,1085,63.546,COPPER,Cu
216,IS_COMPOSED_OF,728,C84030,630.5,331,51,630.5,121.76,ANTIMONY,Sb
217,IS_COMPOSED_OF,728,C84030,231.9,326,50,231.9,118.71,TIN,Sn
218,IS_COMPOSED_OF,728,C84030,1455,327,28,1455,58.6934,NICKEL,Ni
219,IS_COMPOSED_OF,728,C84030,3550,947,6,3550,12.0107,CARBON ,C
220,IS_COMPOSED_OF,728,C84030,327.5,329,82,327.5,207.2,LEAD,Pb
221,IS_COMPOSED_OF,728,C84030,2076,946,5,2076,10.811,BORON,B
222,IS_COMPOSED_OF,728,C84030,112.8,943,16,112.8,32.605,SULFUR ,S
223,IS_COMPOSED_OF,728,C84030,1855,436,40,1855,91.224,ZIRCONIUM ,Zr
224,IS_COMPOSED_OF,728,C84030,1246,330,25,1246,54.938044,MANGANESE,Mn
225,IS_COMPOSED_OF,728,C84030,44.1,942,15,44.1,30.973762,PHOSPHORUS ,P
226,IS_COMPOSED_OF,728,C84030,1455,327,28,1455,58.6934,NICKEL,Ni
227,IS_COMPOSED_OF,728,C84030,231.9,326,50,231.9,118.71,TIN,Sn
228,IS_COMPOSED_OF,728,C84030,1668,320,22,1668,47.867,TITANIUM,Ti
229,IS_COMPOSED_OF,728,C84030,1538,321,26,1538,55.845,IRON,Fe
230,IS_COMPOSED_OF,728,C84030,630.5,331,51,630.5,121.76,ANTIMONY,Sb
231,IS_COMPOSED_OF,728,C84030,419.5,328,30,419.5,65.38,ZINC,Zn
232,IS_COMPOSED_OF,728,C84030,1085,319,29,1085,63.546,COPPER,Cu
233,IS_COMPOSED_OF,729,C84100,231.9,326,50,231.9,118.71,TIN,Sn
234,IS_COMPOSED_OF,729,C84100,419.5,328,30,419.5,65.38,ZINC,Zn
235,IS_COMPOSED_OF,729,C84100,1085,319,29,1085,63.546,COPPER,Cu
236,IS_COMPOSED_OF,729,C84100,327.5,329,82,327.5,207.2,LEAD,Pb
237,IS_COMPOSED_OF,729,C84100,1538,321,26,1538,55.845,IRON,Fe
238,IS_COMPOSED_OF,729,C84100,1455,327,28,1455,58.6934,NICKEL,Ni
239,IS_COMPOSED_OF,729,C84100,419.5,328,30,419.5,65.38,ZINC,Zn
240,IS_COMPOSED_OF,729,C84100,660.3,322,13,660.3,26.981539,ALUMINUM,Al
241,IS_COMPOSED_OF,729,C84100,630.5,331,51,630.5,121.76,ANTIMONY,Sb
242,IS_COMPOSED_OF,729,C84100,1085,319,29,1085,63.546,COPPER,Cu
243,IS_COMPOSED_OF,729,C84100,327.5,329,82,327.5,207.2,LEAD,Pb
244,IS_COMPOSED_OF,729,C84100,231.9,326,50,231.9,118.71,TIN,Sn
245,IS_COMPOSED_OF,729,C84100,271.4,332,83,271.4,208.9804,BISMUTH,Bi
246,IS_COMPOSED_OF,729,C84100,44.1,942,15,44.1,30.973762,PHOSPHORUS ,P
247,IS_COMPOSED_OF,729,C84100,1414,333,14,1414,28.0855,SILICON,Si
248,IS_COMPOSED_OF,730,C84200,231.9,326,50,231.9,118.71,TIN,Sn
249,IS_COMPOSED_OF,730,C84200,1085,319,29,1085,63.546,COPPER,Cu
250,IS_COMPOSED_OF,730,C84200,419.5,328,30,419.5,65.38,ZINC,Zn
251,IS_COMPOSED_OF,730,C84200,327.5,329,82,327.5,207.2,LEAD,Pb
252,IS_COMPOSED_OF,730,C84200,44.1,942,15,44.1,30.973762,PHOSPHORUS ,P
253,IS_COMPOSED_OF,730,C84200,327.5,329,82,327.5,207.2,LEAD,Pb
254,IS_COMPOSED_OF,730,C84200,419.5,328,30,419.5,65.38,ZINC,Zn
255,IS_COMPOSED_OF,730,C84200,630.5,331,51,630.5,121.76,ANTIMONY,Sb
256,IS_COMPOSED_OF,730,C84200,231.9,326,50,231.9,118.71,TIN,Sn
257,IS_COMPOSED_OF,730,C84200,1085,319,29,1085,63.546,COPPER,Cu
258,IS_COMPOSED_OF,730,C84200,112.8,943,16,112.8,32.605,SULFUR ,S
259,IS_COMPOSED_OF,730,C84200,660.3,322,13,660.3,26.981539,ALUMINUM,Al
260,IS_COMPOSED_OF,730,C84200,1455,327,28,1455,58.6934,NICKEL,Ni
261,IS_COMPOSED_OF,730,C84200,1414,333,14,1414,28.0855,SILICON,Si
262,IS_COMPOSED_OF,730,C84200,1538,321,26,1538,55.845,IRON,Fe
263,IS_COMPOSED_OF,731,C84400,419.5,328,30,419.5,65.38,ZINC,Zn
264,IS_COMPOSED_OF,731,C84400,231.9,326,50,231.9,118.71,TIN,Sn
265,IS_COMPOSED_OF,731,C84400,327.5,329,82,327.5,207.2,LEAD,Pb
266,IS_COMPOSED_OF,731,C84400,1085,319,29,1085,63.546,COPPER,Cu
267,IS_COMPOSED_OF,731,C84400,1455,327,28,1455,58.6934,NICKEL,Ni
268,IS_COMPOSED_OF,731,C84400,231.9,326,50,231.9,118.71,TIN,Sn
269,IS_COMPOSED_OF,731,C84400,327.5,329,82,327.5,207.2,LEAD,Pb
270,IS_COMPOSED_OF,731,C84400,419.5,328,30,419.5,65.38,ZINC,Zn
271,IS_COMPOSED_OF,731,C84400,630.5,331,51,630.5,121.76,ANTIMONY,Sb
272,IS_COMPOSED_OF,731,C84400,1085,319,29,1085,63.546,COPPER,Cu
273,IS_COMPOSED_OF,731,C84400,660.3,322,13,660.3,26.981539,ALUMINUM,Al
274,IS_COMPOSED_OF,731,C84400,1538,321,26,1538,55.845,IRON,Fe
