,Relationship,Categorisation_source,Dimensions_source,Form_source,Free_of_source,Material_source,Specifications_source,Title_source,full_community_id_source,name_source,Ar_target,AtomicNumber_target,Category_target,Density_target,EDescription_target,GDescription_target,MeltingPoint_target,Series_target,Symbol_target,full_community_id_target,name_target
39,IS_COMPOSED_OF,Nonferrous Scrap - Red Metals,,Alloyed with copper,,Lead-Free Bismuth Brass Turnings,Nonferrous Scrap - Red Metals,Ecstatic,Brass,Scrap borings and turnings,,,,,,,,,,LEAD-FREE BISMUTH BRASS,LEAD-FREE BISMUTH BRASS
40,IS_PROCESSED_WITH,Nonferrous Scrap - Red Metals,,It is recommended these materials be sold by analysis.,,High Grade-Low Lead Brass Bushings,Nonferrous Scrap - Red Metals,Eland,Bronze/Brass,Solids,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
41,IS_PROCESSED_WITH,iron-backed bearings,,from automobiles and other machinery,iron-backed bearings,null,Nonferrous Scrap - Red Metals,Elder,Brass,Bushings and bearings,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
42,IS_COMPOSED_OF,iron-backed bearings,,from automobiles and other machinery,iron-backed bearings,null,Nonferrous Scrap - Red Metals,Elder,Brass,Bushings and bearings,,,,,,,,,,RED BRASS,RED BRASS
43,IS_PROCESSED_WITH,Nonferrous Scrap - Red Metals,,It is recommended that these materials be sold on sample or analysis.,,High Lead Bronze Solids and Borings,Nonferrous Scrap - Red Metals,Elias,Bronze,Solids and Borings,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
44,IS_COMPOSED_OF,Nonferrous Scrap - Red Metals,,It is recommended that these materials be sold on sample or analysis.,,High Lead Bronze Solids and Borings,Nonferrous Scrap - Red Metals,Elias,Bronze,Solids and Borings,,,,,,,,,,BRONZE,BRONZE
45,IS_PROCESSED_WITH,Nonferrous Scrap - Red Metals,,Should be sold subject to sample or analysis.,,Red Brass Composition Turnings,Nonferrous Scrap - Red Metals,Enerv,Red Brass,Turnings,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
46,IS_COMPOSED_OF,Nonferrous Scrap - Red Metals,,Should be sold subject to sample or analysis.,,Red Brass Composition Turnings,Nonferrous Scrap - Red Metals,Enerv,Red Brass,Turnings,,,,,,,,,,RED BRASS,RED BRASS
47,IS_PROCESSED_WITH,lined and unlined standard red car boxes.,,Copper content of not less than 75%,lined and unlined standard red car boxes.,Machinery or Hard Brass Solids,Nonferrous Scrap - Red Metals,Engel,Brass,Solids,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
48,IS_COMPOSED_OF,lined and unlined standard red car boxes.,,Copper content of not less than 75%,lined and unlined standard red car boxes.,Machinery or Hard Brass Solids,Nonferrous Scrap - Red Metals,Engel,Brass,Solids,,,,,,,,,,BRASS,BRASS
49,IS_PROCESSED_WITH,Nonferrous Scrap - Red Metals,,Copper content of not less than 75%,,Machinery or Hard Brass Borings,Nonferrous Scrap - Red Metals,Erin,Brass,Borings,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
50,IS_COMPOSED_OF,Nonferrous Scrap - Red Metals,,Copper content of not less than 75%,,Machinery or Hard Brass Borings,Nonferrous Scrap - Red Metals,Erin,Brass,Borings,,,,,,,,,,BRASS,BRASS
51,IS_PROCESSED_WITH,Yellow boxes and iron-backed boxes,,Standard unlined and/or sweated railroad boxes and unlined and/or sweated car journal bearings,Yellow boxes and iron-backed boxes,,Nonferrous Scrap - Red Metals,Fence,Unlined Standard Red Car Boxes (Clean Journals),Red car boxes (clean journals),,,,,,,,,,Pyrometallurgical,Pyrometallurgical
52,IS_PROCESSED_WITH,Yellow boxes and iron-backed boxes,,Standard babbitt-lined railroad boxes and/or babbitt-lined car journal bearings,Yellow boxes and iron-backed boxes,,Nonferrous Scrap - Red Metals,Ferry,Lined Standard Red Car Boxes (Lined Journals),Red car boxes (lined journals),,,,,,,,,,Pyrometallurgical,Pyrometallurgical
53,IS_PROCESSED_WITH,Gas cocks,,Clean red and yellow brass,Gas cocks,Cocks and Faucets,Nonferrous Scrap - Red Metals,Grape,Red Brass/Yellow Brass including chrome or nickel plated,Cocks and Faucets,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
54,IS_EQUIVALENT_TO,Manganese-bronze,,Nonferrous Scrap - Red Metals,Manganese-bronze,Yellow Brass Scrap,,Honey,Yellow brass,Mixed Solids,,,BRASS SCRAP HONEY AS PER ISRI,,Non-Ferrous,BRASS SCRAP HONEY AS PER ISRI,,,,50046,ΣΚΡΑΠ ΒΡΥΣΕΣ 58% ΑΔΙΑΛΕΚΤΕΣ
55,IS_EQUIVALENT_TO,Manganese-bronze,,Nonferrous Scrap - Red Metals,Manganese-bronze,Yellow Brass Scrap,,Honey,Yellow brass,Mixed Solids,,,SHREDDED HONEY FROM PRODUCTION,,,SHREDDED HONEY FROM PRODUCTION,,,,60163,Non-Ferrous
56,IS_EQUIVALENT_TO,Manganese-bronze,,Nonferrous Scrap - Red Metals,Manganese-bronze,Yellow Brass Scrap,,Honey,Yellow brass,Mixed Solids,,,BRASS SCRAP HONEY AS PER ISRI (RAW),,Non-Ferrous,BRASS SCRAP HONEY AS PER ISRI (RAW),,,,40143,ΣΚΡΑΠ ΒΡΥΣΕΣ  ΑΔΙΑΛΕΚΤΕΣ (ΥΛΗ)
57,IS_EQUIVALENT_TO,Manganese-bronze,,Nonferrous Scrap - Red Metals,Manganese-bronze,Yellow Brass Scrap,,Honey,Yellow brass,Mixed Solids,,,BRASS SCRAP HONEY AS PER ISRI (E),,,BRASS SCRAP HONEY AS PER ISRI (E),,,,50113,Non-Ferrous
58,IS_PROCESSED_WITH,Manganese-bronze,,Nonferrous Scrap - Red Metals,Manganese-bronze,Yellow Brass Scrap,,Honey,Yellow brass,Mixed Solids,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
59,IS_COMPOSED_OF,Manganese-bronze,,Nonferrous Scrap - Red Metals,Manganese-bronze,Yellow Brass Scrap,,Honey,Yellow brass,Mixed Solids,,,,,,,,,,YELLOW BRASS,YELLOW BRASS
60,IS_PROCESSED_WITH,brass forgings,Ivory,not to contain more than 15% nickel plated material,brass forgings,,Nonferrous Scrap - Red Metals,no piece to measure more than 12 inches over any one part,Yellow Brass Castings,Castings in crucible shape ,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
61,IS_COMPOSED_OF,brass forgings,Ivory,not to contain more than 15% nickel plated material,brass forgings,,Nonferrous Scrap - Red Metals,no piece to measure more than 12 inches over any one part,Yellow Brass Castings,Castings in crucible shape ,,,,,,,,,,YELLOW BRASS,YELLOW BRASS
62,IS_PROCESSED_WITH,from foreign substances,,new unleaded yellow brass sheet or plate,from foreign substances,New Brass Clipings,Nonferrous Scrap - Red Metals,Label,Brass,Clippings,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
63,IS_COMPOSED_OF,from foreign substances,,new unleaded yellow brass sheet or plate,from foreign substances,New Brass Clipings,Nonferrous Scrap - Red Metals,Label,Brass,Clippings,,,,,,,,,,YELLOW BRASS,YELLOW BRASS
64,IS_PROCESSED_WITH,primers and any other foreign material,,Clean. For material to be exported from the United States,primers and any other foreign material,Brass Shell Cases Without Primers,Nonferrous Scrap - Red Metals,Lace,Brass,Fired 70/30 shell cases,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
65,IS_COMPOSED_OF,primers and any other foreign material,,Clean. For material to be exported from the United States,primers and any other foreign material,Brass Shell Cases Without Primers,Nonferrous Scrap - Red Metals,Lace,Brass,Fired 70/30 shell cases,,,,,,,,,,BRASS,BRASS
66,IS_PROCESSED_WITH,any other foreign material,,Clean.Containing the brass primers. For material to be exported from the United States,any other foreign material,Brass Shell Cases With Primers,Nonferrous Scrap - Red Metals,Lady,Bras,Fired 70/30 shell cases,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
67,IS_PROCESSED_WITH,bullets,,Clean. For material to be exported from the United States,bullets,Brass Small Arms and Rifle Shells,Nonferrous Scrap - Red Metals,Lake,Brass,Rifle shells,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
68,IS_COMPOSED_OF,bullets,,Clean. For material to be exported from the United States,bullets,Brass Small Arms and Rifle Shells,Nonferrous Scrap - Red Metals,Lake,Brass,Rifle shells,,,,,,,,,,BRASS,BRASS
69,IS_PROCESSED_WITH,bullets,,Clean muffled. For material to be exported from the United States,bullets,Brass Small Arms and Rifle Shells,Nonferrous Scrap - Red Metals,Lamb,Brass,Rifle shells,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
