,Relationship,name,full_community_id,"""Ar""","""AtomicNumber""","""Density""","""MeltingPoint""","""Symbol""","""full_community_id""","""name"""
219,IS_COMPOSED_OF,C84030,728,3550,947,6,3550,12.0107,CARBON ,C
220,IS_COMPOSED_OF,C84030,728,327.5,329,82,327.5,207.2,LEAD,Pb
221,IS_COMPOSED_OF,C84030,728,2076,946,5,2076,10.811,BORON,B
222,IS_COMPOSED_OF,C84030,728,112.8,943,16,112.8,32.605,SULFUR ,S
223,IS_COMPOSED_OF,C84030,728,1855,436,40,1855,91.224,ZIRCONIUM ,Zr
224,IS_COMPOSED_OF,C84030,728,1246,330,25,1246,54.938044,MANGANESE,Mn
225,IS_COMPOSED_OF,C84030,728,44.1,942,15,44.1,30.973762,PHOSPHORUS ,P
226,IS_COMPOSED_OF,C84030,728,1455,327,28,1455,58.6934,NICKEL,Ni
227,IS_COMPOSED_OF,C84030,728,231.9,326,50,231.9,118.71,TIN,Sn
228,IS_COMPOSED_OF,C84030,728,1668,320,22,1668,47.867,TITANIUM,Ti
229,IS_COMPOSED_OF,C84030,728,1538,321,26,1538,55.845,IRON,Fe
230,IS_COMPOSED_OF,C84030,728,630.5,331,51,630.5,121.76,ANTIMONY,Sb
231,IS_COMPOSED_OF,C84030,728,419.5,328,30,419.5,65.38,ZINC,Zn
232,IS_COMPOSED_OF,C84030,728,1085,319,29,1085,63.546,COPPER,Cu
233,IS_COMPOSED_OF,C84100,729,231.9,326,50,231.9,118.71,TIN,Sn
234,IS_COMPOSED_OF,C84100,729,419.5,328,30,419.5,65.38,ZINC,Zn
235,IS_COMPOSED_OF,C84100,729,1085,319,29,1085,63.546,COPPER,Cu
236,IS_COMPOSED_OF,C84100,729,327.5,329,82,327.5,207.2,LEAD,Pb
237,IS_COMPOSED_OF,C84100,729,1538,321,26,1538,55.845,IRON,Fe
238,IS_COMPOSED_OF,C84100,729,1455,327,28,1455,58.6934,NICKEL,Ni
239,IS_COMPOSED_OF,C84100,729,419.5,328,30,419.5,65.38,ZINC,Zn
240,IS_COMPOSED_OF,C84100,729,660.3,322,13,660.3,26.981539,ALUMINUM,Al
241,IS_COMPOSED_OF,C84100,729,630.5,331,51,630.5,121.76,ANTIMONY,Sb
242,IS_COMPOSED_OF,C84100,729,1085,319,29,1085,63.546,COPPER,Cu
243,IS_COMPOSED_OF,C84100,729,327.5,329,82,327.5,207.2,LEAD,Pb
244,IS_COMPOSED_OF,C84100,729,231.9,326,50,231.9,118.71,TIN,Sn
245,IS_COMPOSED_OF,C84100,729,271.4,332,83,271.4,208.9804,BISMUTH,Bi
246,IS_COMPOSED_OF,C84100,729,44.1,942,15,44.1,30.973762,PHOSPHORUS ,P
247,IS_COMPOSED_OF,C84100,729,1414,333,14,1414,28.0855,SILICON,Si
248,IS_COMPOSED_OF,C84200,730,231.9,326,50,231.9,118.71,TIN,Sn
249,IS_COMPOSED_OF,C84200,730,1085,319,29,1085,63.546,COPPER,Cu
250,IS_COMPOSED_OF,C84200,730,419.5,328,30,419.5,65.38,ZINC,Zn
251,IS_COMPOSED_OF,C84200,730,327.5,329,82,327.5,207.2,LEAD,Pb
252,IS_COMPOSED_OF,C84200,730,44.1,942,15,44.1,30.973762,PHOSPHORUS ,P
253,IS_COMPOSED_OF,C84200,730,327.5,329,82,327.5,207.2,LEAD,Pb
254,IS_COMPOSED_OF,C84200,730,419.5,328,30,419.5,65.38,ZINC,Zn
255,IS_COMPOSED_OF,C84200,730,630.5,331,51,630.5,121.76,ANTIMONY,Sb
256,IS_COMPOSED_OF,C84200,730,231.9,326,50,231.9,118.71,TIN,Sn
257,IS_COMPOSED_OF,C84200,730,1085,319,29,1085,63.546,COPPER,Cu
258,IS_COMPOSED_OF,C84200,730,112.8,943,16,112.8,32.605,SULFUR ,S
259,IS_COMPOSED_OF,C84200,730,660.3,322,13,660.3,26.981539,ALUMINUM,Al
260,IS_COMPOSED_OF,C84200,730,1455,327,28,1455,58.6934,NICKEL,Ni
261,IS_COMPOSED_OF,C84200,730,1414,333,14,1414,28.0855,SILICON,Si
262,IS_COMPOSED_OF,C84200,730,1538,321,26,1538,55.845,IRON,Fe
263,IS_COMPOSED_OF,C84400,731,419.5,328,30,419.5,65.38,ZINC,Zn
264,IS_COMPOSED_OF,C84400,731,231.9,326,50,231.9,118.71,TIN,Sn
265,IS_COMPOSED_OF,C84400,731,327.5,329,82,327.5,207.2,LEAD,Pb
266,IS_COMPOSED_OF,C84400,731,1085,319,29,1085,63.546,COPPER,Cu
267,IS_COMPOSED_OF,C84400,731,1455,327,28,1455,58.6934,NICKEL,Ni
268,IS_COMPOSED_OF,C84400,731,231.9,326,50,231.9,118.71,TIN,Sn
269,IS_COMPOSED_OF,C84400,731,327.5,329,82,327.5,207.2,LEAD,Pb
270,IS_COMPOSED_OF,C84400,731,419.5,328,30,419.5,65.38,ZINC,Zn
271,IS_COMPOSED_OF,C84400,731,630.5,331,51,630.5,121.76,ANTIMONY,Sb
272,IS_COMPOSED_OF,C84400,731,1085,319,29,1085,63.546,COPPER,Cu
273,IS_COMPOSED_OF,C84400,731,660.3,322,13,660.3,26.981539,ALUMINUM,Al
274,IS_COMPOSED_OF,C84400,731,1538,321,26,1538,55.845,IRON,Fe
275,IS_COMPOSED_OF,C84400,731,44.1,942,15,44.1,30.973762,PHOSPHORUS ,P
276,IS_COMPOSED_OF,C84400,731,112.8,943,16,112.8,32.605,SULFUR ,S
277,IS_COMPOSED_OF,C84400,731,1414,333,14,1414,28.0855,SILICON,Si
278,IS_COMPOSED_OF,C84410,732,231.9,326,50,231.9,118.71,TIN,Sn
279,IS_COMPOSED_OF,C84410,732,327.5,329,82,327.5,207.2,LEAD,Pb
280,IS_COMPOSED_OF,C84410,732,419.5,328,30,419.5,65.38,ZINC,Zn
281,IS_COMPOSED_OF,C84410,732,271.4,332,83,271.4,208.9804,BISMUTH,Bi
282,IS_COMPOSED_OF,C84410,732,419.5,328,30,419.5,65.38,ZINC,Zn
283,IS_COMPOSED_OF,C84410,732,1085,319,29,1085,63.546,COPPER,Cu
284,IS_COMPOSED_OF,C84410,732,231.9,326,50,231.9,118.71,TIN,Sn
285,IS_COMPOSED_OF,C84410,732,1455,327,28,1455,58.6934,NICKEL,Ni
286,IS_COMPOSED_OF,C84410,732,1414,333,14,1414,28.0855,SILICON,Si
287,IS_COMPOSED_OF,C84410,732,660.3,322,13,660.3,26.981539,ALUMINUM,Al
288,IS_COMPOSED_OF,C84410,732,327.5,329,82,327.5,207.2,LEAD,Pb
289,IS_COMPOSED_OF,C84500,733,327.5,329,82,327.5,207.2,LEAD,Pb
290,IS_COMPOSED_OF,C84500,733,1085,319,29,1085,63.546,COPPER,Cu
291,IS_COMPOSED_OF,C84500,733,419.5,328,30,419.5,65.38,ZINC,Zn
292,IS_COMPOSED_OF,C84500,733,231.9,326,50,231.9,118.71,TIN,Sn
293,IS_COMPOSED_OF,C84500,733,231.9,326,50,231.9,118.71,TIN,Sn
294,IS_COMPOSED_OF,C84500,733,660.3,322,13,660.3,26.981539,ALUMINUM,Al
295,IS_COMPOSED_OF,C84500,733,327.5,329,82,327.5,207.2,LEAD,Pb
296,IS_COMPOSED_OF,C84500,733,44.1,942,15,44.1,30.973762,PHOSPHORUS ,P
