,Relationship,full_community_id_src,name_src,Ar_trg,AtomicNumber_trg,Density_trg,MeltingPoint_trg,Symbol_trg,full_community_id_trg,name_trg
132,IS_COMPOSED_OF,722,C83700,118.71,50,5.75,231.9,Sn,326,TIN
133,IS_COMPOSED_OF,723,C83800,118.71,50,5.75,231.9,Sn,326,TIN
134,IS_COMPOSED_OF,723,C83800,63.546,29,8.96,1085,Cu,319,COPPER
135,IS_COMPOSED_OF,723,C83800,65.38,30,7.13,419.5,Zn,328,ZINC
136,IS_COMPOSED_OF,723,C83800,207.2,82,11.29,327.5,Pb,329,LEAD
137,IS_COMPOSED_OF,723,C83800,63.546,29,8.96,1085,Cu,319,COPPER
138,IS_COMPOSED_OF,723,C83800,118.71,50,5.75,231.9,Sn,326,TIN
139,IS_COMPOSED_OF,723,C83800,65.38,30,7.13,419.5,Zn,328,ZINC
140,IS_COMPOSED_OF,723,C83800,55.845,26,7.874,1538,Fe,321,IRON
141,IS_COMPOSED_OF,723,C83800,32.605,16,*,112.8,S,943,SULFUR 
142,IS_COMPOSED_OF,723,C83800,30.973762,15,*,44.1,P,942,PHOSPHORUS 
143,IS_COMPOSED_OF,723,C83800,26.981539,13,2.7,660.3,Al,322,ALUMINUM
144,IS_COMPOSED_OF,723,C83800,28.0855,14,2.33,1414,Si,333,SILICON
145,IS_COMPOSED_OF,723,C83800,58.6934,28,8.902,1455,Ni,327,NICKEL
146,IS_COMPOSED_OF,723,C83800,207.2,82,11.29,327.5,Pb,329,LEAD
147,IS_COMPOSED_OF,723,C83800,121.76,51,6.631,630.5,Sb,331,ANTIMONY
148,IS_COMPOSED_OF,724,C83810,118.71,50,5.75,231.9,Sn,326,TIN
149,IS_COMPOSED_OF,724,C83810,65.38,30,7.13,419.5,Zn,328,ZINC
150,IS_COMPOSED_OF,724,C83810,207.2,82,11.29,327.5,Pb,329,LEAD
151,IS_COMPOSED_OF,724,C83810,26.981539,13,2.7,660.3,Al,322,ALUMINUM
152,IS_COMPOSED_OF,724,C83810,63.546,29,8.96,1085,Cu,319,COPPER
153,IS_COMPOSED_OF,724,C83810,118.71,50,5.75,231.9,Sn,326,TIN
154,IS_COMPOSED_OF,724,C83810,207.2,82,11.29,327.5,Pb,329,LEAD
155,IS_COMPOSED_OF,724,C83810,28.0855,14,2.33,1414,Si,333,SILICON
156,IS_COMPOSED_OF,724,C83810,65.38,30,7.13,419.5,Zn,328,ZINC
157,IS_COMPOSED_OF,724,C83810,58.6934,28,8.902,1455,Ni,327,NICKEL
158,IS_COMPOSED_OF,724,C83810,55.845,26,7.874,1538,Fe,321,IRON
159,IS_COMPOSED_OF,725,C84000,58.6934,28,8.902,1455,Ni,327,NICKEL
160,IS_COMPOSED_OF,725,C84000,63.546,29,8.96,1085,Cu,319,COPPER
161,IS_COMPOSED_OF,725,C84000,118.71,50,5.75,231.9,Sn,326,TIN
162,IS_COMPOSED_OF,725,C84000,65.38,30,7.13,419.5,Zn,328,ZINC
163,IS_COMPOSED_OF,725,C84000,91.224,40,6.49,1855,Zr,436,ZIRCONIUM 
164,IS_COMPOSED_OF,725,C84000,121.76,51,6.631,630.5,Sb,331,ANTIMONY
165,IS_COMPOSED_OF,725,C84000,28.0855,14,2.33,1414,Si,333,SILICON
166,IS_COMPOSED_OF,725,C84000,32.605,16,*,112.8,S,943,SULFUR 
167,IS_COMPOSED_OF,725,C84000,26.981539,13,2.7,660.3,Al,322,ALUMINUM
168,IS_COMPOSED_OF,725,C84000,55.845,26,7.874,1538,Fe,321,IRON
169,IS_COMPOSED_OF,725,C84000,58.6934,28,8.902,1455,Ni,327,NICKEL
170,IS_COMPOSED_OF,725,C84000,118.71,50,5.75,231.9,Sn,326,TIN
171,IS_COMPOSED_OF,725,C84000,54.938044,25,7.26,1246,Mn,330,MANGANESE
172,IS_COMPOSED_OF,725,C84000,30.973762,15,*,44.1,P,942,PHOSPHORUS 
173,IS_COMPOSED_OF,725,C84000,65.38,30,7.13,419.5,Zn,328,ZINC
174,IS_COMPOSED_OF,725,C84000,63.546,29,8.96,1085,Cu,319,COPPER
175,IS_COMPOSED_OF,725,C84000,10.811,5,*,2076,B,946,BORON
176,IS_COMPOSED_OF,725,C84000,207.2,82,11.29,327.5,Pb,329,LEAD
177,IS_COMPOSED_OF,726,C84010,54.938044,25,7.26,1246,Mn,330,MANGANESE
178,IS_COMPOSED_OF,726,C84010,65.38,30,7.13,419.5,Zn,328,ZINC
179,IS_COMPOSED_OF,726,C84010,58.6934,28,8.902,1455,Ni,327,NICKEL
180,IS_COMPOSED_OF,726,C84010,63.546,29,8.96,1085,Cu,319,COPPER
181,IS_COMPOSED_OF,726,C84010,118.71,50,5.75,231.9,Sn,326,TIN
182,IS_COMPOSED_OF,726,C84010,65.38,30,7.13,419.5,Zn,328,ZINC
183,IS_COMPOSED_OF,726,C84010,28.0855,14,2.33,1414,Si,333,SILICON
184,IS_COMPOSED_OF,726,C84010,207.2,82,11.29,327.5,Pb,329,LEAD
185,IS_COMPOSED_OF,726,C84010,118.71,50,5.75,231.9,Sn,326,TIN
186,IS_COMPOSED_OF,726,C84010,26.981539,13,2.7,660.3,Al,322,ALUMINUM
187,IS_COMPOSED_OF,726,C84010,58.6934,28,8.902,1455,Ni,327,NICKEL
188,IS_COMPOSED_OF,726,C84010,10.811,5,*,2076,B,946,BORON
189,IS_COMPOSED_OF,726,C84010,121.76,51,6.631,630.5,Sb,331,ANTIMONY
190,IS_COMPOSED_OF,726,C84010,55.845,26,7.874,1538,Fe,321,IRON
191,IS_COMPOSED_OF,726,C84010,30.973762,15,*,44.1,P,942,PHOSPHORUS 
192,IS_COMPOSED_OF,726,C84010,91.224,40,6.49,1855,Zr,436,ZIRCONIUM 
193,IS_COMPOSED_OF,726,C84010,63.546,29,8.96,1085,Cu,319,COPPER
194,IS_COMPOSED_OF,726,C84010,54.938044,25,7.26,1246,Mn,330,MANGANESE
195,IS_COMPOSED_OF,726,C84010,32.605,16,*,112.8,S,943,SULFUR 
