,Relationship,full_community_id_src,name_src,Categorisation_trg,Category_trg,Description_trg,Dimensions_trg,EDescription_trg,Form_trg,Free_of_trg,GDescription_trg,Material_trg,Specifications_trg,Title_trg,full_community_id_trg,name_trg
50,IS_PROCESSED_WITH,['689'],['Shredder'],,"['EDescription', 'Non-Ferrous']",,,['ΠΡΟΦΥΛΑΚΤΗΡΕΣ ΑΥΤΟΚΙΝΗΤΩΝ ( ΥΛΗ )'],,,"['Category', 'CAR BUMPERS (RAW MATERIAL)']",,,,['483'],['40021']
51,IS_PROCESSED_WITH,['689'],['Shredder'],,['Ferrous'],"['ΜΗΧΑΝΕΣ ΑΚΑΘΑΡΙΣΤΕΣ  Β (ΥΛΗ )', 'Category']",,,,,,,,,['461'],['40012']
52,IS_PROCESSED_WITH,['689'],['Shredder'],,['Ferrous'],"['ΚΟΥΖΙΝΕΣ ΑΠΟΡΡΥΠΑΣΜΕΝΕΣ (ΥΛΗ)', 'Category']",,,,,,,,,['451'],['40003']
53,IS_PROCESSED_WITH,['689'],['Shredder'],,['Ferrous'],"['ΜΗΧΑΝΕΣ ΑΚΑΘΑΡΙΣΤΕΣ  Α (ΥΛΗ )', 'Category']",,,,,,,,,['460'],['40011']
54,IS_PROCESSED_WITH,['689'],['Shredder'],,['Ferrous'],"['Category', 'ΑΠΟΡΡΥΠΑΣΜΕΝΑ ΨΥΓΕΙΑ (ΥΛΗ)']",,,,,,,,,['457'],['40240']
55,IS_PROCESSED_WITH,['689'],['Shredder'],,['Ferrous'],"['ΗΛΕΚΤΡ.ΣΥΣΚ. ΑΠΟΡΡΥΠΑΣΜΕΝΕΣ ΧΥΔΗΝ (ΥΛΗ)', 'Category']",,,,,,,,,['453'],['40005']
56,IS_PROCESSED_WITH,['689'],['Shredder'],,['Ferrous'],"['ΣΚΡΑΠ ΑΥΤΟΚΙΝ. ΓΙΑ ΑΛΕΣΗ (ΥΛΗ)', 'Category']",,,,,,,,,['446'],['40002']
57,IS_PROCESSED_WITH,['689'],['Shredder'],,"['EDescription', 'Non-Ferrous']",,,['ΣΚΡΑΠ ΣΚΕΥΗ - ΔΙΑΦΟΡΑ ΒΑΜΜΕΝΑ ΥΛΗ'],,,"['ALUMINUM SCRAP TAINT TABOR(RAW MATERIAL)', 'Category']",,,,['472'],['40016']
58,IS_PROCESSED_WITH,['689'],['Shredder'],,['Ferrous'],"['ΥΛΙΚΑ ΜΗΧΑΝΙΚΗΣ ΑΠΟΣΥΝΑΡΜΟΛΟΓΗΣΗΣ (ΥΛΗ)', 'Category']",,,,,,,,,['445'],['40001']
59,IS_PROCESSED_WITH,['689'],['Shredder'],,['Ferrous'],"['ΠΡΟΚΑΤΕΡΓΑΣΜΕΝΑ ΥΛΙΚΑ ΜΗΧΑΝ.ΑΠΟΣΥΝ(ΥΛΗ)', 'Category']",,,,,,,,,['456'],['40008']
60,IS_PROCESSED_WITH,['689'],['Shredder'],,['Ferrous'],"['ΘΕΡΜΟΣΙΦΩΝΕΣ ΑΠΟΡΡΥΠΑΣΜΕΝΟΙ (ΥΛΗ)', 'Category']",,,,,,,,,['452'],['40004']
61,IS_PROCESSED_WITH,['689'],['Shredder'],,"['EDescription', 'Non-Ferrous']",,,['ΣΚΡΑΠ ΠΛΑΣΤΙΚΟΥ (ΥΛΗ)'],,,"['PLASTIC SCRAP (RAW MATERIAL)', 'Category']",,,,['482'],['40020']
62,IS_PROCESSED_WITH,['689'],['Shredder'],,"['EDescription', 'Non-Ferrous']",,,['ΣΚΡΑΠ ΑΛΟΥΜΙΝΙΟΥ ΠΡΟΣ ΑΛΕΣΗ (ΥΛΗ)'],,,"['ALUMINUM SCRAP FOR SHRED.(RAW MATERIAL)', 'Category']",,,,['474'],['40018']
63,IS_PROCESSED_WITH,['689'],['Shredder'],,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,,,,,,,['437'],['40000']
64,IS_PROCESSED_WITH,['689'],['Shredder'],,"['EDescription', 'Non-Ferrous']",,,['ΣΚΡΑΠ ΑΛΟΥΜΙΝΙΟΥ ΑΝΑΜΕΙΚΤΟ (ΥΛΗ )'],,,"['ALUMINUM SCRAP MIXED (RAW MATERIAL)', 'Category']",,,,['473'],['40017']
65,IS_PROCESSED_WITH,['689'],['Shredder'],,['Ferrous'],"['ΜΗΧΑΝΕΣ ΑΚΑΘΑΡΙΣΤΕΣ  Γ (ΥΛΗ )', 'Category']",,,,,,,,,['458'],['40009']
66,IS_PROCESSED_WITH,['689'],['Shredder'],,['Ferrous'],"['ΠΛΥΝΤΗΡΙΑ ΑΠΟΡΡΥΠΑΣΜΕΝΑ (ΥΛΗ)', 'Category']",,,,,,,,,['454'],['40006']
67,IS_PROCESSED_WITH,['690'],['Magnetic Separation'],,"['EDescription', 'Non-Ferrous']",,,['ΣΚΡΑΠ ΣΚΕΥΗ - ΔΙΑΦΟΡΑ ΒΑΜΜΕΝΑ ΥΛΗ'],,,"['ALUMINUM SCRAP TAINT TABOR(RAW MATERIAL)', 'Category']",,,,['472'],['40016']
68,IS_PROCESSED_WITH,['690'],['Magnetic Separation'],,"['EDescription', 'Non-Ferrous']",,,['ΣΚΡΑΠ ΑΛΟΥΜΙΝΙΟΥ ΠΡΟΣ ΑΛΕΣΗ (ΥΛΗ)'],,,"['ALUMINUM SCRAP FOR SHRED.(RAW MATERIAL)', 'Category']",,,,['474'],['40018']
69,IS_PROCESSED_WITH,['690'],['Magnetic Separation'],,['Ferrous'],"['ΗΛΕΚΤΡ.ΣΥΣΚ. ΑΠΟΡΡΥΠΑΣΜΕΝΕΣ ΧΥΔΗΝ (ΥΛΗ)', 'Category']",,,,,,,,,['453'],['40005']
70,IS_PROCESSED_WITH,['690'],['Magnetic Separation'],,['Ferrous'],"['ΚΟΥΖΙΝΕΣ ΑΠΟΡΡΥΠΑΣΜΕΝΕΣ (ΥΛΗ)', 'Category']",,,,,,,,,['451'],['40003']
71,IS_PROCESSED_WITH,['690'],['Magnetic Separation'],,['Ferrous'],"['ΣΚΡΑΠ ΑΥΤΟΚΙΝ. ΓΙΑ ΑΛΕΣΗ (ΥΛΗ)', 'Category']",,,,,,,,,['446'],['40002']
72,IS_PROCESSED_WITH,['690'],['Magnetic Separation'],,['Ferrous'],"['ΥΛΙΚΑ ΜΗΧΑΝΙΚΗΣ ΑΠΟΣΥΝΑΡΜΟΛΟΓΗΣΗΣ (ΥΛΗ)', 'Category']",,,,,,,,,['445'],['40001']
73,IS_PROCESSED_WITH,['690'],['Magnetic Separation'],,['Ferrous'],"['ΠΛΥΝΤΗΡΙΑ ΑΠΟΡΡΥΠΑΣΜΕΝΑ (ΥΛΗ)', 'Category']",,,,,,,,,['454'],['40006']
74,IS_PROCESSED_WITH,['690'],['Magnetic Separation'],,['Ferrous'],"['Category', 'ΑΠΟΡΡΥΠΑΣΜΕΝΑ ΨΥΓΕΙΑ (ΥΛΗ)']",,,,,,,,,['457'],['40240']
75,IS_PROCESSED_WITH,['690'],['Magnetic Separation'],,"['EDescription', 'Non-Ferrous']",,,['ΣΚΡΑΠ ΠΛΑΣΤΙΚΟΥ (ΥΛΗ)'],,,"['PLASTIC SCRAP (RAW MATERIAL)', 'Category']",,,,['482'],['40020']
76,IS_PROCESSED_WITH,['690'],['Magnetic Separation'],,['Ferrous'],"['ΜΗΧΑΝΕΣ ΑΚΑΘΑΡΙΣΤΕΣ  Β (ΥΛΗ )', 'Category']",,,,,,,,,['461'],['40012']
77,IS_PROCESSED_WITH,['690'],['Magnetic Separation'],,"['EDescription', 'Non-Ferrous']",,,['ΠΡΟΦΥΛΑΚΤΗΡΕΣ ΑΥΤΟΚΙΝΗΤΩΝ ( ΥΛΗ )'],,,"['Category', 'CAR BUMPERS (RAW MATERIAL)']",,,,['483'],['40021']
78,IS_PROCESSED_WITH,['690'],['Magnetic Separation'],,['Ferrous'],"['ΜΗΧΑΝΕΣ ΑΚΑΘΑΡΙΣΤΕΣ  Α (ΥΛΗ )', 'Category']",,,,,,,,,['460'],['40011']
79,IS_PROCESSED_WITH,['690'],['Magnetic Separation'],,['Ferrous'],"['ΘΕΡΜΟΣΙΦΩΝΕΣ ΑΠΟΡΡΥΠΑΣΜΕΝΟΙ (ΥΛΗ)', 'Category']",,,,,,,,,['452'],['40004']
80,IS_PROCESSED_WITH,['690'],['Magnetic Separation'],,"['EDescription', 'Non-Ferrous']",,,['ΣΚΡΑΠ ΑΛΟΥΜΙΝΙΟΥ ΑΝΑΜΕΙΚΤΟ (ΥΛΗ )'],,,"['ALUMINUM SCRAP MIXED (RAW MATERIAL)', 'Category']",,,,['473'],['40017']
