,Relationship,Category_src,Description_src,EDescription_src,GDescription_src,full_community_id_src,name_src,Categorisation_trg,Category_trg,Description_trg,Dimensions_trg,Form_trg,Free_of_trg,Material_trg,Specifications_trg,Title_trg,ewc_trg,finalValue_trg,full_community_id_trg,name_trg,orderCount_trg,startingValue_trg,startingWeight_trg,waste_trg,wastePercentage_trg
35,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['waste', '[150104 200136 170411]']","['34588.58', 'startingValue']","['finalValue', '993']","['ΑΝΟΞΑΛ ΑΕ', 'orderCount']",['25'],['46482.97'],"['215670.0', 'wastePercentage']","['startingWeight', '62170.0']",['27.1']
36,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['[191202 170411 200140]', 'waste']","['startingValue', '6032.325']","['finalValue', '980']",['ΕΛΕΜΚΟ ΑΒΕΕ'],"['20', 'wastePercentage']",['6145.225'],"['38400.0', 'orderCount']","['startingWeight', '265.0']",['4.5']
37,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['startingWeight', '[170405 200135 191202 170411 191212 170407]']",['115526.49'],"['startingValue', '1082']","['ΝΟΒΑΛ ΠΡΟΠΕΡΤΥ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΕΠΕ', 'orderCount']","['finalValue', '45']",['115781.39'],"['945235.0', 'wastePercentage']","['1860.0', 'ewc']",['0.3']
38,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['waste', '[191202 200135]']",['48.720000000000006'],"['966', 'startingValue']","['ΣΤΗΛΜΕΤ ΑΕ', 'orderCount']","['finalValue', '11']",['48.7239'],"['wastePercentage', '4575.0']","['startingWeight', '390.0']",['6.6']
39,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['startingWeight', '[200140]']","['startingValue', '858.925']","['finalValue', '1073']","['ΑΦΟΙ ΚΟΝΔΥΛΗ ΟΕ', 'orderCount']",['3'],['885.1249999999999'],"['2520.0', 'wastePercentage']","['35.0', 'ewc']",['2.0']
40,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['startingWeight', '[200140 170405 150104 191202 200136 120101 191203]']","['37799.4899', 'startingValue']","['1052', 'finalValue']",['ΕΛΛΗΝΙΚΑ ΚΑΛΩΔΙΑ ΕΛΛ.ΒΙΟΜ.ΚΑΛΩΔ.ΜΟΝ'],"['49', 'wastePercentage']",['43003.5199'],"['330771.0', 'orderCount']","['48127.0', 'ewc']",['11.9']
41,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['startingWeight', '[160106 160117 160801 160122 191202 160118]']",['444266.75'],"['1257', 'startingValue']","['ΣΩΤΗΡΙΟΥ Α. ΤΡΑΚΟΠΟΥΛΟΥ Ι. ΕΠΕ (ΤΟΜ', 'orderCount']","['finalValue', '516']",['444924.775'],"['wastePercentage', '2427634.0']","['3900.0', 'ewc']",['0.2']
42,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['waste', '[191202]']","['0.04385', 'startingValue']","['finalValue', '1108']","['ΦΙΛΗΣ ΕΥΑΓΓΕΛΟΣ', 'orderCount']",['1'],['0.04385'],"['4385.0', 'wastePercentage']","['startingWeight', '0.0']",['0.0']
43,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['startingWeight', '[191202 200140]']","['startingValue', '10707.380000000001']","['finalValue', '1075']","['STAALCO ΜΕΤΑΛΛΙΚΕΣ ΚΑΤΑΣΚΕΥΕΣ Μον/π', 'orderCount']",['2'],['10823.625'],"['19435.0', 'wastePercentage']","['315.0', 'ewc']",['1.3']
44,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['startingWeight', '[191202]']","['2363.8500000000004', 'startingValue']","['1024', 'finalValue']","['ΠΑΠΟΥΤΣΑΝΗΣ ΑΒΕΕ', 'orderCount']",['1'],['2363.8500000000004'],"['13905.0', 'wastePercentage']","['0.0', 'ewc']",['0.0']
45,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['startingWeight', '[160106 160117 160118 160801 191202 160122]']",['157705.25'],"['startingValue', '1048']","['ΕΜ. ΠΑΤΕΛΗΣ-Μ. ΣΠΑΝΟΥ Ο.Ε.', 'orderCount']","['23', 'finalValue']",['158791.55000000002'],"['352833.0', 'wastePercentage']","['7485.0', 'ewc']",['1.4']
46,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['startingWeight', '[191202]']","['startingValue', '0.13155']","['finalValue', '1040']","['ΑΝΥΨΩΤΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ', 'orderCount']",['2'],['0.13155'],"['13155.0', 'wastePercentage']","['0.0', 'ewc']",['0.0']
47,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['startingWeight', '[191202 160801 191203 160118 160122 170411 191212]']","['962668.699', 'startingValue']","['1224', 'finalValue']",['ΑΡΓΥΡΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ & ΣΙΑ ΟΕ(ΤΟΜ.'],"['277', 'wastePercentage']",['975533.679'],"['6766012.0', 'orderCount']","['98985.0', 'ewc']",['1.0']
48,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['waste', '[191202]']","['startingValue', '71.03999999999999']","['finalValue', '1037']","['Α. ΔΙΓΑΛΕΤΟΣ & ΣΙΑ ΕΕ', 'orderCount']",['2'],['71.03999999999999'],"['592.0', 'wastePercentage']","['startingWeight', '0.0']",['0.0']
49,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['startingWeight', '[200140]']","['5885.9', 'startingValue']","['finalValue', '1046']",['DIONYSSOMARBLE'],"['wastePercentage', '4']",['6250.25'],"['36690.0', 'orderCount']","['2160.0', 'ewc']",['4.6']
50,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['startingWeight', '[191202]']","['startingValue', '19311.785']","['963', 'finalValue']","['ΜΕΤΑΛΛΟΥΡΓΙΑ ΑΤΤΙΚΗΣ ΑΕ', 'orderCount']",['14'],['19317.455'],"['121785.0', 'wastePercentage']","['45.0', 'ewc']",['0.0']
51,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['startingWeight', '[150104 170405 200136 191202 191203]']",['49525.67155'],"['989', 'startingValue']","['ΣΥΜΕΤΑΛ ΒΙΟΜΗΧΑΝΙΑ ΑΛΟΥΜΙΝΟΧΑΡΤΟΥ Α', 'orderCount']","['23', 'finalValue']",['50041.79155'],"['311690.0', 'wastePercentage']","['3030.0', 'ewc']",['1.0']
52,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['startingWeight', '[200135 191202]']","['startingValue', '15469.32425']","['1259', 'finalValue']","['ΤΡΑΠΕΖΑ ΠΕΙΡΑΙΩΣ Α.Ε. (ΤΟΜ.ΣΙΔΗΡΟΥ)', 'orderCount']",['23'],['15677.32425'],"['152160.0', 'wastePercentage']","['1600.0', 'ewc']",['1.3']
53,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['startingWeight', '[170405 200140 170407 191202]']","['32477.920000000002', 'startingValue']","['finalValue', '1196']",['ΛΙΝΤΕ ΕΛΛΑΣ ΜΟΝ.ΕΠΕ (ΤΟΜΕΑΣ ΜΕΤΑΛΛΟ'],"['wastePercentage', '36']",['41558.78'],"['108840.0', 'orderCount']","['15190.0', 'ewc']",['14.7']
54,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['[191202 191212]', 'waste']",['36620.85'],"['1213', 'startingValue']","['ECORAP Α.Ε. (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ)', 'orderCount']","['finalValue', '24']",['38456.575'],"['wastePercentage', '366455.0']","['17455.0', 'startingWeight']",['4.4']
